WKT,name,description
"LINESTRING (-97.1626899 34.6491574, -97.1626521 34.6489784, -97.1625904 34.6486397, -97.1625166 34.6481598, -97.1624764 34.6479954, -97.1624053 34.6476788, -97.1622565 34.6469848)",Line 54,
"LINESTRING (-97.1612866 34.6493406, -97.1612008 34.6489015, -97.1611177 34.648479, -97.161056 34.6481723, -97.1610023 34.6478446, -97.161056 34.6481723, -97.160895 34.6482054, -97.1605611 34.6482407, -97.1600877 34.6482782)",Line 55,
"LINESTRING (-97.1608231 34.6494067, -97.1608669 34.649686, -97.1609017 34.6500225)",Line 56,
"LINESTRING (-97.1699644 34.6499392, -97.169833 34.6499712, -97.1698692 34.6501731, -97.1699054 34.650332, -97.1705505 34.6502338, -97.1706537 34.6502227, -97.1712277 34.6501709, -97.1715603 34.6501422, -97.1728572 34.6499513, -97.1728116 34.6495994, -97.1727686 34.6492982, -97.172546 34.6483031, -97.172432 34.647736, -97.1723221 34.6472119, -97.1722966 34.6469162, -97.1722134 34.6466327, -97.172074 34.645835, -97.1719814 34.6455195, -97.1718741 34.6449711, -97.1717776 34.6444437, -97.1716689 34.6439053, -97.1716073 34.6434011, -97.1714986 34.6430127, -97.171453 34.6427711, -97.1713927 34.6424533, -97.1713229 34.6420517, -97.1713055 34.6419237, -97.1712639 34.6416854, -97.1711191 34.6409572, -97.1705572 34.6410234, -97.1702889 34.6410664, -97.1699041 34.6411205, -97.1693958 34.6411856, -97.1694856 34.6416015, -97.169546 34.6418862, -97.1695849 34.6421554, -97.1696358 34.6424379, -97.1696868 34.6427093, -97.1697914 34.6432665, -97.1698652 34.6435931, -97.169896 34.6438954, -97.1699657 34.6441028, -97.1700127 34.6444151, -97.1700543 34.6446578, -97.1701589 34.6451763, -97.1702004 34.645418, -97.1703171 34.6459376, -97.1703413 34.6460634, -97.1704123 34.646433, -97.170474 34.6467408, -97.1705075 34.6470277, -97.1705853 34.6473918, -97.1706363 34.6475694, -97.1707208 34.6481585, -97.1707758 34.6484542, -97.1708321 34.64873, -97.1701629 34.6490599, -97.1696613 34.6493177)",Line 58,
"LINESTRING (-97.172647 34.6487497, -97.1720891 34.6488269, -97.1720676 34.6486482, -97.1720019 34.6483724, -97.1719349 34.6479355, -97.171786 34.6478108, -97.1717364 34.6475008, -97.1716921 34.6472106, -97.1716063 34.6467042, -97.1714682 34.645922, -97.1714172 34.6455843, -97.1713032 34.6450294, -97.1712563 34.6447116, -97.1711624 34.644203, -97.1710752 34.6436712, -97.171031 34.6434296, -97.1709103 34.6429033, -97.1707855 34.6422082, -97.1707453 34.6419787, -97.1707225 34.6417701, -97.1706447 34.6414711, -97.1706032 34.6411931, -97.1705572 34.6410234, -97.1705012 34.6407782, -97.1704382 34.6404141, -97.1704033 34.6402254, -97.1702893 34.6396263, -97.1702464 34.6394001, -97.1701767 34.6389797, -97.1700533 34.6383177)",Line 59,
"LINESTRING (-97.168539 34.636709, -97.1685927 34.6369881, -97.1686544 34.6373147, -97.1687549 34.6377076, -97.168818 34.638022, -97.1689333 34.6387161, -97.1690044 34.6390636, -97.1690325 34.6393075, -97.1690822 34.639558, -97.1691345 34.6397775, -97.1691948 34.6400622, -97.1692579 34.6404219, -97.1693397 34.6408533, -97.1693692 34.6410674, -97.1693958 34.6411856)",Line 60,
"LINESTRING (-97.16913 34.639767, -97.1684393 34.6398718, -97.1678854 34.6399424, -97.1671787 34.6400252, -97.1666574 34.6400921, -97.16718 34.6400252, -97.1671559 34.6399171, -97.1667978 34.6398762, -97.1665443 34.6395397, -97.1663901 34.638839, -97.1662962 34.6383006, -97.1662265 34.6379111)",Line 61,
"LINESTRING (-97.170286 34.6396194, -97.1706964 34.6395764, -97.1716406 34.6394782, -97.1720898 34.6394131, -97.172287 34.6393921, -97.1725646 34.6393568, -97.1730165 34.6393038, -97.1735382 34.6392575, -97.1742651 34.6391692, -97.1743295 34.6397761, -97.174422 34.6401689, -97.1744917 34.640533)",Line 62,
"LINESTRING (-97.1742651 34.6391692, -97.1742016 34.6389776, -97.1741573 34.6387503, -97.1740997 34.6384237, -97.1740514 34.6382217, -97.1738931 34.6376656, -97.1738355 34.637115, -97.1737201 34.636496, -97.1736785 34.6363139, -97.1742525 34.6363029, -97.1748922 34.6363029, -97.1754327 34.6362941, -97.1754944 34.6364309, -97.1758189 34.6363294)",Line 63,
"LINESTRING (-97.1734513 34.6390167, -97.1735465 34.639265, -97.1736122 34.6396104, -97.1736591 34.6398696, -97.1737316 34.6402558, -97.1737919 34.6405769, -97.1738496 34.6408925, -97.1739247 34.641218, -97.1739595 34.6413702, -97.1740159 34.6417332, -97.1740494 34.6418678, -97.1740856 34.6421812, -97.1741486 34.6425166, -97.1742197 34.6428785, -97.174158 34.6430837, -97.1744303 34.6430595, -97.175015 34.6429955, -97.1744303 34.6430595, -97.1744716 34.6433977, -97.1745253 34.6436824, -97.1745695 34.6439715, -97.1746594 34.6445)",Line 65,
"LINESTRING (-97.174158 34.6430837, -97.1735883 34.6431573, -97.1729285 34.6432257, -97.1723692 34.6433096, -97.1716073 34.6434011)",Line 66,
"LINESTRING (-97.1734558 34.6425063, -97.1735081 34.6427501, -97.173555 34.6429321, -97.1735883 34.6431573, -97.1736261 34.6436118, -97.1737629 34.6439262, -97.1738755 34.6445794, -97.1739372 34.6449281, -97.1739144 34.6451333)",Line 68,
"LINESTRING (-97.1730165 34.6393038, -97.1729763 34.6391009, -97.1728208 34.6383749, -97.1726987 34.6378232, -97.1726384 34.6375297, -97.1725847 34.6373289, -97.172523 34.6370309)",Line 69,
"LINESTRING (-97.1717151 34.6364282, -97.1717352 34.6366037, -97.1717701 34.6368232, -97.1718747 34.6372944, -97.1719793 34.6377722, -97.1720786 34.6382709, -97.1721604 34.6387553, -97.1722542 34.639232, -97.1722609 34.6393964, -97.1722931 34.6395895, -97.1724568 34.6402647, -97.1725681 34.6409168, -97.1726579 34.6413725, -97.1727129 34.6416991, -97.172737 34.6418128, -97.1727156 34.6423655, -97.172737 34.6418128, -97.1729454 34.6417908)",Line 70,
